gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Adip1	Adip2	B	B_plasma	CD14+Mo	CD16+Mo	CD4+T_act	CD4+T_naive	CD8+T_em	CD8+T_te	CD8+T_trans	DC	EC10_CMC-like	EC1_cap	EC2_cap	EC3_cap	EC5_art	EC6_ven	EC7_endocardial	EC8_ln	FB2	FB3	FB4_activated	FB5	FB6	ILC	LYVE1+IGF1+MP	LYVE1+MP_cycling	LYVE1+TIMD4+MP	MAIT-like	Mast	MoMP	NC1_glial	NC2_glial_NGF+	NK_CD16hi	NK_CD56hi	PC2_atria	PC3_str	SAN_P_cell	SMC1_basic	SMC2_art	aCM1	aCM2	aCM3	aCM4	epicardium_subepicardium	myocardium
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.436	0.413	0.0	0.0	0.139	0.073	0.0	0.0	0.0	0.0	0.0	0.132	0.137	0.098	0.319	0.113	0.086	0.163	0.156	0.089	0.293	0.257	0.534	0.203	0.045	0.0	0.08	0.154	0.098	0.0	0.0	0.07	0.051	0.179	0.0	0.0	0.14	0.038	0.084	0.15	0.127	0.088	0.137	0.048	0.084	0.183	0.113
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.035	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.017	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.031	0.019	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.017	0.02	0.023	0.02	0.0	0.031
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	0.014	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.017	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.019	0.004	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.002	0.01	0.0	0.006	0.0	0.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.023	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.004	0.007	0.0	0.048	0.007	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.005	0.024	0.0	0.0	0.144	0.04	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.041	0.017	0.011	0.0	0.0	0.061	0.0	0.048	0.041	0.043	0.0	0.0	0.055	0.0	0.077	0.0	0.0	0.014	0.041	0.018	0.0	0.0	0.023	0.044	0.024	0.023	0.068	0.05
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.005	0.024	0.0	0.0	0.144	0.04	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.041	0.017	0.011	0.0	0.0	0.061	0.0	0.048	0.041	0.043	0.0	0.0	0.055	0.0	0.077	0.0	0.0	0.014	0.041	0.018	0.0	0.0	0.023	0.044	0.024	0.023	0.068	0.05
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.005	0.024	0.0	0.0	0.144	0.04	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.041	0.017	0.011	0.0	0.0	0.061	0.0	0.048	0.041	0.043	0.0	0.0	0.055	0.0	0.077	0.0	0.0	0.014	0.041	0.018	0.0	0.0	0.023	0.044	0.024	0.023	0.068	0.05
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.082	0.048	0.072	0.0	0.241	0.336	0.066	0.072	0.053	0.02	0.073	0.459	0.063	0.03	0.0	0.0	0.056	0.071	0.073	0.173	0.05	0.015	0.204	0.085	0.0	0.0	0.239	0.395	0.316	0.0	0.025	0.206	0.0	0.004	0.0	0.0	0.017	0.0	0.046	0.0	0.014	0.042	0.046	0.0	0.03	0.056	0.053
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.082	0.048	0.072	0.0	0.241	0.336	0.066	0.072	0.053	0.02	0.073	0.459	0.063	0.03	0.0	0.0	0.056	0.071	0.073	0.173	0.05	0.015	0.204	0.085	0.0	0.0	0.239	0.395	0.316	0.0	0.025	0.206	0.0	0.004	0.0	0.0	0.017	0.0	0.046	0.0	0.014	0.042	0.046	0.0	0.03	0.056	0.053
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.082	0.048	0.072	0.0	0.241	0.336	0.066	0.072	0.053	0.02	0.073	0.459	0.063	0.03	0.0	0.0	0.056	0.071	0.073	0.173	0.05	0.015	0.204	0.085	0.0	0.0	0.239	0.395	0.316	0.0	0.025	0.206	0.0	0.004	0.0	0.0	0.017	0.0	0.046	0.0	0.014	0.042	0.046	0.0	0.03	0.056	0.053
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.011	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.023	0.0	0.0	0.284	0.013	0.07	0.0	0.086	0.269	0.0	0.028	0.0	0.0	0.01	0.0	0.032	0.0	0.005	0.129	0.098	0.033	0.076	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	0.003	0.061	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.162	0.0	0.0	0.141	0.224	0.332	0.283	0.147	0.127	0.037	0.267	0.231	0.072	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.086	0.0	0.0	0.004	0.0	0.004	0.0	0.008	0.007	0.003	0.0	0.003	0.09	0.184
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	0.003	0.061	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.162	0.0	0.0	0.141	0.224	0.332	0.283	0.147	0.127	0.037	0.267	0.231	0.072	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.086	0.0	0.0	0.004	0.0	0.004	0.0	0.008	0.007	0.003	0.0	0.003	0.09	0.184
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.017	0.0	0.0	0.0	0.087	0.016	0.0	0.0	0.0	0.0	0.352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.006	0.0	0.0	0.0	0.0	0.183	0.006	0.099	0.045	0.092	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.003	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0F3C5EBCC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0
