gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	#B16BA8	#F39426	B cells Memory	B cells Naive	CAFs MSC iCAF-like	CAFs myCAF-like	Cancer Basal SC	Cycling T-cells	Cycling_Myeloid	DCs	Endothelial ACKR1	Endothelial CXCL12	Endothelial RGS5	Luminal Progenitors	Macrophage	Mature Luminal	Monocyte	Myoepithelial	NK cells	NKT cells	PVL Differentiated	PVL Immature	Plasmablasts	T cells CD4+	T cells CD8+
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.468	0.44	0.0	0.0	0.016	0.018	0.654	0.033	0.014	0.03	0.117	0.029	0.124	0.216	0.028	0.154	0.02	0.101	0.041	0.0	0.0	0.0	0.075	0.062	0.059
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.468	0.44	0.0	0.0	0.016	0.018	0.654	0.033	0.014	0.03	0.117	0.029	0.124	0.216	0.028	0.154	0.02	0.101	0.041	0.0	0.0	0.0	0.075	0.062	0.059
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.468	0.44	0.0	0.0	0.016	0.018	0.654	0.033	0.014	0.03	0.117	0.029	0.124	0.216	0.028	0.154	0.02	0.101	0.041	0.0	0.0	0.0	0.075	0.062	0.059
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.468	0.44	0.0	0.0	0.016	0.018	0.654	0.033	0.014	0.03	0.117	0.029	0.124	0.216	0.028	0.154	0.02	0.101	0.041	0.0	0.0	0.0	0.075	0.062	0.059
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.349	0.295	0.0	0.0	0.265	0.273	0.21	0.052	0.208	0.079	0.192	0.168	0.405	0.368	0.139	0.586	0.086	0.257	0.0	0.0	0.36	0.176	0.004	0.008	0.006
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.349	0.295	0.0	0.0	0.265	0.273	0.21	0.052	0.208	0.079	0.192	0.168	0.405	0.368	0.139	0.586	0.086	0.257	0.0	0.0	0.36	0.176	0.004	0.008	0.006
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.011	0.006	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.017	0.01	0.035	0.0	0.015	0.024	0.017	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.011	0.006	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.017	0.01	0.035	0.0	0.015	0.024	0.017	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.011	0.006	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.017	0.01	0.035	0.0	0.015	0.024	0.017	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.043	0.084	0.0	0.0	0.033	0.011	0.082	0.015	0.219	0.041	0.031	0.03	0.021	0.041	0.139	0.037	0.193	0.071	0.02	0.0	0.0	0.026	0.007	0.018	0.013
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.043	0.084	0.0	0.0	0.033	0.011	0.082	0.015	0.219	0.041	0.031	0.03	0.021	0.041	0.139	0.037	0.193	0.071	0.02	0.0	0.0	0.026	0.007	0.018	0.013
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.043	0.084	0.0	0.0	0.033	0.011	0.082	0.015	0.219	0.041	0.031	0.03	0.021	0.041	0.139	0.037	0.193	0.071	0.02	0.0	0.0	0.026	0.007	0.018	0.013
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	0.0	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.001	0.047	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	0.026	0.053	0.0	0.0	0.024	0.009	0.0	0.03	0.148	0.046	0.202	0.238	0.023	0.074	0.357	0.059	0.359	0.029	0.089	0.0	0.0	0.0	0.023	0.029	0.073
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	0.026	0.053	0.0	0.0	0.024	0.009	0.0	0.03	0.148	0.046	0.202	0.238	0.023	0.074	0.357	0.059	0.359	0.029	0.089	0.0	0.0	0.0	0.023	0.029	0.073
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.016	0.045	0.0	0.0	0.011	0.0	0.0	0.0	0.148	0.046	0.0	0.125	0.0	0.033	0.357	0.055	0.359	0.007	0.011	0.0	0.0	0.0	0.023	0.004	0.009
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	0.006	0.0	0.0	0.0	0.029	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.003	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHA	P05111	True	INHA_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP17A1	P05093	True	CP17A_HUMAN	Androstenedione_byCYP17A1	CPI-CS0D5502736	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0010C54C6	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC048F01E8D	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC06F5021B7	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC036F9AC3C	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC065AB1F5E	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC01AF691C1	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A31C8D8B	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0A06D2C2D	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CC0E829C954	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	0.033	0.043	0.0	0.0	0.509	0.301	0.053	0.0	0.1	0.0	0.033	0.0	0.0	0.009	0.136	0.003	0.034	0.032	0.0	0.312	0.0	0.024	0.0	0.0	0.0
